antecedent,consequent,confidence,lift,support,readable
"['STORAGE_HDD', 'STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9620253164556962,4.737580410873625,0.05059920106524634,"STORAGE_HDD, STORAGE_1TB, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.96, lift=4.74)"
"['STORAGE_HDD', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9529411764705882,4.692844744455159,0.05392809587217044,"STORAGE_HDD, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.95, lift=4.69)"
"['STORAGE_HDD', 'STORAGE_1TB', 'CPU_i7/i9', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9518072289156626,4.687260517479755,0.0525965379494008,"STORAGE_HDD, STORAGE_1TB, CPU_i7/i9, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.95, lift=4.69)"
"['STORAGE_HDD', 'STORAGE_1TB', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9444444444444444,4.651001821493625,0.05659121171770972,"STORAGE_HDD, STORAGE_1TB, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.94, lift=4.65)"
"['STORAGE_HDD', 'CPU_i7/i9', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9438202247191011,4.647927795174065,0.0559254327563249,"STORAGE_HDD, CPU_i7/i9, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.94, lift=4.65)"
"['STORAGE_HDD', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9375,4.616803278688525,0.05992010652463382,"STORAGE_HDD, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.94, lift=4.62)"
"['STORAGE_HDD', 'STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+']",['GPU_NVIDIA'],0.9333333333333333,4.596284153005465,0.0559254327563249,"STORAGE_HDD, STORAGE_1TB, CPU_i7/i9, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.93, lift=4.60)"
"['STORAGE_HDD', 'CPU_i7/i9', 'PRICE_1200+']",['GPU_NVIDIA'],0.9278350515463918,4.569207368598953,0.05992010652463382,"STORAGE_HDD, CPU_i7/i9, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.93, lift=4.57)"
"['STORAGE_HDD', 'STORAGE_1TB', 'PRICE_1200+']",['GPU_NVIDIA'],0.9215686274509803,4.538347798135647,0.06258322237017311,"STORAGE_HDD, STORAGE_1TB, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.92, lift=4.54)"
"['STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+', 'STORAGE_SSD']",['GPU_NVIDIA'],0.9,4.432131147540984,0.05392809587217044,"STORAGE_1TB, CPU_i7/i9, PRICE_1200+, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.90, lift=4.43)"
"['STORAGE_HDD', 'STORAGE_1TB', 'STORAGE_SSD']",['GPU_NVIDIA'],0.897196261682243,4.418323885399111,0.06391478029294274,"STORAGE_HDD, STORAGE_1TB, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.90, lift=4.42)"
"['STORAGE_HDD', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8947368421052632,4.406212251941329,0.06790945406125166,"STORAGE_HDD, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.89, lift=4.41)"
"['STORAGE_1TB', 'CPU_i7/i9', 'PRICE_1200+']",['GPU_NVIDIA'],0.8504672897196262,4.188202849701241,0.06058588548601864,"STORAGE_1TB, CPU_i7/i9, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.85, lift=4.19)"
