antecedent,consequent,confidence,lift,support,readable
"['GPU_NVIDIA', 'PRICE_1200+']",['STORAGE_Dual-Drive'],0.34256055363321797,5.086505190311418,0.050510204081632655,"GPU_NVIDIA, PRICE_1200+  ->  STORAGE_Dual-Drive   (confidence=0.34, lift=5.09)"
"['RAM_32GB+', 'PRICE_1200+']",['CPU_CoreUltra'],0.5736434108527132,4.3078202500816785,0.07551020408163266,"RAM_32GB+, PRICE_1200+  ->  CPU_CoreUltra   (confidence=0.57, lift=4.31)"
"['STORAGE_Dual-Drive', 'PRICE_1200+']",['GPU_NVIDIA'],0.8918918918918919,4.232707283554741,0.050510204081632655,"STORAGE_Dual-Drive, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.89, lift=4.23)"
"['STORAGE_Dual-Drive', 'STORAGE_SSD', 'PRICE_1200+']",['GPU_NVIDIA'],0.8909090909090909,4.228043143297381,0.05,"STORAGE_Dual-Drive, STORAGE_SSD, PRICE_1200+  ->  GPU_NVIDIA   (confidence=0.89, lift=4.23)"
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8813559322033898,4.182706118931342,0.053061224489795916,"STORAGE_Dual-Drive, STORAGE_1-2TB, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.88, lift=4.18)"
"['STORAGE_1-2TB', 'STORAGE_HDD', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8793103448275862,4.172998246639392,0.05204081632653061,"STORAGE_1-2TB, STORAGE_HDD, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.88, lift=4.17)"
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB', 'STORAGE_HDD', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8793103448275862,4.172998246639392,0.05204081632653061,"STORAGE_Dual-Drive, STORAGE_1-2TB, STORAGE_HDD, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.88, lift=4.17)"
"['STORAGE_Dual-Drive', 'STORAGE_HDD', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8790322580645161,4.171678512848551,0.055612244897959184,"STORAGE_Dual-Drive, STORAGE_HDD, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.88, lift=4.17)"
"['STORAGE_HDD', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8790322580645161,4.171678512848551,0.055612244897959184,"STORAGE_HDD, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.88, lift=4.17)"
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB']",['GPU_NVIDIA'],0.8739495798319328,4.147557328015952,0.053061224489795916,"STORAGE_Dual-Drive, STORAGE_1-2TB  ->  GPU_NVIDIA   (confidence=0.87, lift=4.15)"
"['STORAGE_Dual-Drive', 'STORAGE_HDD']",['GPU_NVIDIA'],0.873015873015873,4.143126177024482,0.05612244897959184,"STORAGE_Dual-Drive, STORAGE_HDD  ->  GPU_NVIDIA   (confidence=0.87, lift=4.14)"
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB', 'STORAGE_HDD']",['GPU_NVIDIA'],0.8717948717948718,4.137331594958714,0.05204081632653061,"STORAGE_Dual-Drive, STORAGE_1-2TB, STORAGE_HDD  ->  GPU_NVIDIA   (confidence=0.87, lift=4.14)"
"['GPU_NVIDIA', 'PRICE_1200+']",['STORAGE_1-2TB'],0.39792387543252594,4.104898925514478,0.058673469387755105,"GPU_NVIDIA, PRICE_1200+  ->  STORAGE_1-2TB   (confidence=0.40, lift=4.10)"
"['PRICE_400-700', 'STORAGE_HDD']",['RAM_<8GB'],0.7846153846153846,4.090016366612112,0.05204081632653061,"PRICE_400-700, STORAGE_HDD  ->  RAM_<8GB   (confidence=0.78, lift=4.09)"
"['STORAGE_Dual-Drive', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8615384615384616,4.088657105606258,0.05714285714285714,"STORAGE_Dual-Drive, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.86, lift=4.09)"
['STORAGE_Dual-Drive'],['GPU_NVIDIA'],0.8560606060606061,4.06266050333847,0.05765306122448979,"STORAGE_Dual-Drive  ->  GPU_NVIDIA   (confidence=0.86, lift=4.06)"
"['STORAGE_HDD', 'GPU_IntelIntegrated']",['RAM_<8GB'],0.76875,4.007313829787234,0.06275510204081633,"STORAGE_HDD, GPU_IntelIntegrated  ->  RAM_<8GB   (confidence=0.77, lift=4.01)"
"['RAM_32GB+', 'GPU_IntelIntegrated']",['CPU_CoreUltra'],0.532608695652174,3.9996668332500422,0.05,"RAM_32GB+, GPU_IntelIntegrated  ->  CPU_CoreUltra   (confidence=0.53, lift=4.00)"
"['STORAGE_1-2TB', 'STORAGE_SSD']",['GPU_NVIDIA'],0.8372093023255814,3.9731966890027595,0.05510204081632653,"STORAGE_1-2TB, STORAGE_SSD  ->  GPU_NVIDIA   (confidence=0.84, lift=3.97)"
