items,freq
['GPU_IntelIntegrated'],1147
['PRICE_1200+'],850
['STORAGE_SSD'],798
['RAM_16-32GB'],637
['STORAGE_128-256GB'],586
['STORAGE_256-512GB'],580
['RAM_8-16GB'],568
['CPU_i7/i9'],568
['STORAGE_512GB-1TB'],501
['PRICE_700-1200'],483
['CPU_i5'],469
"['STORAGE_SSD', 'GPU_IntelIntegrated']",459
"['STORAGE_SSD', 'PRICE_1200+']",451
"['PRICE_1200+', 'GPU_IntelIntegrated']",428
"['STORAGE_128-256GB', 'GPU_IntelIntegrated']",426
"['STORAGE_128-256GB', 'STORAGE_SSD']",424
['STORAGE_HDD'],418
['GPU_NVIDIA'],413
"['STORAGE_256-512GB', 'GPU_IntelIntegrated']",397
['PRICE_400-700'],385
"['RAM_8-16GB', 'STORAGE_SSD']",382
['RAM_32GB+'],379
['RAM_<8GB'],376
"['CPU_i5', 'GPU_IntelIntegrated']",365
"['CPU_i7/i9', 'STORAGE_SSD']",365
"['RAM_16-32GB', 'GPU_IntelIntegrated']",357
"['RAM_8-16GB', 'GPU_IntelIntegrated']",335
"['CPU_i7/i9', 'PRICE_1200+']",325
"['RAM_8-16GB', 'STORAGE_128-256GB']",324
"['STORAGE_256-512GB', 'RAM_16-32GB']",302
"['STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",301
['GPU_AMD'],300
"['RAM_16-32GB', 'PRICE_1200+']",297
"['CPU_i7/i9', 'GPU_IntelIntegrated']",294
"['CPU_i7/i9', 'STORAGE_SSD', 'PRICE_1200+']",291
"['GPU_NVIDIA', 'PRICE_1200+']",289
"['RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD']",281
"['RAM_8-16GB', 'PRICE_1200+']",272
"['RAM_<8GB', 'GPU_IntelIntegrated']",271
"['PRICE_700-1200', 'GPU_IntelIntegrated']",267
"['CPU_i5', 'STORAGE_128-256GB']",265
['CPU_CoreUltra'],261
"['RAM_32GB+', 'PRICE_1200+']",258
"['CPU_i5', 'STORAGE_SSD']",252
"['CPU_i7/i9', 'RAM_16-32GB']",252
"['STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",250
"['RAM_8-16GB', 'STORAGE_SSD', 'PRICE_1200+']",250
"['STORAGE_256-512GB', 'PRICE_1200+']",248
"['CPU_i5', 'RAM_8-16GB']",246
"['PRICE_400-700', 'GPU_IntelIntegrated']",246
"['RAM_8-16GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",243
['PRICE_<400'],242
"['RAM_8-16GB', 'STORAGE_128-256GB', 'GPU_IntelIntegrated']",238
"['RAM_16-32GB', 'STORAGE_SSD']",237
"['STORAGE_512GB-1TB', 'GPU_IntelIntegrated']",233
"['GPU_NVIDIA', 'STORAGE_SSD']",232
"['STORAGE_128-256GB', 'PRICE_1200+']",230
"['GPU_NVIDIA', 'CPU_i7/i9']",226
"['CPU_i5', 'STORAGE_128-256GB', 'GPU_IntelIntegrated']",223
"['CPU_CoreUltra', 'PRICE_1200+']",221
"['CPU_i7/i9', 'RAM_8-16GB']",220
"['CPU_i5', 'STORAGE_128-256GB', 'STORAGE_SSD']",207
"['STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+']",206
"['PRICE_<400', 'GPU_IntelIntegrated']",206
"['RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",202
"['PRICE_700-1200', 'STORAGE_SSD']",200
"['STORAGE_512GB-1TB', 'PRICE_1200+']",198
"['STORAGE_256-512GB', 'RAM_16-32GB', 'GPU_IntelIntegrated']",198
"['RAM_<8GB', 'STORAGE_HDD']",192
"['RAM_32GB+', 'STORAGE_512GB-1TB']",190
"['CPU_i5', 'STORAGE_SSD', 'GPU_IntelIntegrated']",190
['STORAGE_1-2TB'],190
"['CPU_CoreUltra', 'GPU_IntelIntegrated']",189
"['RAM_32GB+', 'GPU_IntelIntegrated']",184
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_SSD']",183
"['PRICE_700-1200', 'RAM_8-16GB']",183
"['GPU_NVIDIA', 'STORAGE_SSD', 'PRICE_1200+']",179
"['GPU_NVIDIA', 'STORAGE_HDD']",177
"['RAM_8-16GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",176
"['STORAGE_HDD', 'STORAGE_512GB-1TB']",175
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_128-256GB']",174
"['RAM_8-16GB', 'STORAGE_128-256GB', 'PRICE_1200+']",174
"['STORAGE_128-256GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",173
"['GPU_NVIDIA', 'CPU_i7/i9', 'STORAGE_SSD']",173
"['CPU_i5', 'RAM_8-16GB', 'GPU_IntelIntegrated']",172
"['RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+']",172
"['CPU_i7/i9', 'STORAGE_SSD', 'GPU_IntelIntegrated']",172
"['CPU_i5', 'PRICE_700-1200']",171
"['RAM_8-16GB', 'STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",171
"['GPU_NVIDIA', 'CPU_i7/i9', 'PRICE_1200+']",170
"['CPU_i7/i9', 'STORAGE_256-512GB']",170
['CPU_Other'],169
"['CPU_i5', 'STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",169
"['CPU_i7/i9', 'RAM_8-16GB', 'STORAGE_SSD']",169
"['CPU_i7/i9', 'STORAGE_128-256GB']",168
"['STORAGE_256-512GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",166
"['CPU_i7/i9', 'RAM_16-32GB', 'STORAGE_SSD']",165
"['PRICE_700-1200', 'STORAGE_512GB-1TB']",165
"['RAM_<8GB', 'PRICE_400-700']",164
"['CPU_CoreUltra', 'RAM_32GB+']",160
"['STORAGE_HDD', 'GPU_IntelIntegrated']",160
"['STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",157
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD']",157
"['STORAGE_256-512GB', 'STORAGE_SSD']",157
"['STORAGE_HDD', 'RAM_8-16GB']",155
"['PRICE_700-1200', 'STORAGE_128-256GB']",154
"['GPU_NVIDIA', 'CPU_i7/i9', 'STORAGE_SSD', 'PRICE_1200+']",152
"['GPU_NVIDIA', 'RAM_8-16GB']",151
"['CPU_CoreUltra', 'PRICE_1200+', 'GPU_IntelIntegrated']",151
"['RAM_16-32GB', 'STORAGE_SSD', 'PRICE_1200+']",151
"['STORAGE_HDD', 'CPU_i7/i9']",150
"['CPU_i7/i9', 'RAM_16-32GB', 'PRICE_1200+']",149
"['CPU_CoreUltra', 'RAM_32GB+', 'PRICE_1200+']",148
"['CPU_i7/i9', 'RAM_8-16GB', 'PRICE_1200+']",147
"['STORAGE_1-2TB', 'PRICE_1200+']",145
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_128-256GB', 'GPU_IntelIntegrated']",142
"['CPU_i7/i9', 'PRICE_1200+', 'GPU_IntelIntegrated']",140
"['CPU_i7/i9', 'STORAGE_128-256GB', 'STORAGE_SSD']",138
"['CPU_i7/i9', 'RAM_16-32GB', 'STORAGE_SSD', 'PRICE_1200+']",138
"['RAM_8-16GB', 'STORAGE_128-256GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",137
"['STORAGE_256-512GB', 'RAM_16-32GB', 'PRICE_1200+']",137
['CPU_i3'],137
"['CPU_i5', 'PRICE_1200+']",136
"['RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",136
"['PRICE_400-700', 'STORAGE_256-512GB']",136
"['CPU_i7/i9', 'RAM_8-16GB', 'STORAGE_SSD', 'PRICE_1200+']",136
"['GPU_NVIDIA', 'STORAGE_512GB-1TB']",134
"['CPU_i7/i9', 'RAM_16-32GB', 'GPU_IntelIntegrated']",134
"['RAM_32GB+', 'STORAGE_512GB-1TB', 'PRICE_1200+']",133
"['STORAGE_HDD', 'PRICE_700-1200']",133
"['STORAGE_1-2TB', 'GPU_NVIDIA']",133
"['PRICE_700-1200', 'STORAGE_128-256GB', 'STORAGE_SSD']",133
['STORAGE_Dual-Drive'],132
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",132
"['STORAGE_Dual-Drive', 'STORAGE_SSD']",130
"['PRICE_400-700', 'STORAGE_HDD']",130
"['STORAGE_128-256GB', 'RAM_16-32GB']",129
"['STORAGE_HDD', 'PRICE_1200+']",129
"['STORAGE_1-2TB', 'STORAGE_HDD']",129
"['STORAGE_1-2TB', 'STORAGE_SSD']",129
"['CPU_i7/i9', 'STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",128
"['PRICE_700-1200', 'CPU_i7/i9']",128
"['STORAGE_512GB-1TB', 'RAM_16-32GB']",126
"['STORAGE_Dual-Drive', 'STORAGE_HDD']",126
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",126
"['STORAGE_Dual-Drive', 'STORAGE_HDD', 'STORAGE_SSD']",124
"['GPU_NVIDIA', 'STORAGE_HDD', 'CPU_i7/i9']",124
"['GPU_NVIDIA', 'RAM_16-32GB']",124
"['STORAGE_HDD', 'STORAGE_SSD']",124
"['CPU_i5', 'STORAGE_SSD', 'PRICE_1200+']",123
"['RAM_<8GB', 'STORAGE_HDD', 'GPU_IntelIntegrated']",123
"['STORAGE_HDD', 'CPU_i5']",122
"['PRICE_700-1200', 'RAM_16-32GB']",122
"['RAM_16-32GB', 'PRICE_1200+', 'GPU_IntelIntegrated']",122
"['PRICE_400-700', 'STORAGE_512GB-1TB']",120
"['CPU_i7/i9', 'STORAGE_256-512GB', 'GPU_IntelIntegrated']",120
"['PRICE_700-1200', 'STORAGE_256-512GB']",120
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB']",119
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB', 'STORAGE_SSD']",118
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB', 'STORAGE_HDD']",117
"['RAM_<8GB', 'STORAGE_SSD']",117
"['STORAGE_Dual-Drive', 'STORAGE_1-2TB', 'STORAGE_HDD', 'STORAGE_SSD']",116
"['STORAGE_1-2TB', 'STORAGE_HDD', 'STORAGE_SSD']",116
"['GPU_NVIDIA', 'RAM_16-32GB', 'PRICE_1200+']",115
"['STORAGE_1-2TB', 'GPU_NVIDIA', 'PRICE_1200+']",115
"['STORAGE_512GB-1TB', 'CPU_i7/i9']",114
"['RAM_<8GB', 'STORAGE_128-256GB']",114
"['STORAGE_Dual-Drive', 'GPU_NVIDIA']",113
"['CPU_i5', 'PRICE_700-1200', 'GPU_IntelIntegrated']",113
"['STORAGE_Dual-Drive', 'GPU_NVIDIA', 'STORAGE_SSD']",112
"['STORAGE_Dual-Drive', 'PRICE_1200+']",111
"['CPU_i5', 'RAM_8-16GB', 'PRICE_1200+']",111
"['STORAGE_Dual-Drive', 'STORAGE_SSD', 'PRICE_1200+']",110
"['STORAGE_Dual-Drive', 'GPU_NVIDIA', 'STORAGE_HDD']",110
"['PRICE_<400', 'RAM_16-32GB']",110
"['CPU_CoreUltra', 'STORAGE_512GB-1TB']",110
"['PRICE_700-1200', 'RAM_8-16GB', 'STORAGE_SSD']",110
"['RAM_<8GB', 'CPU_i5']",110
"['STORAGE_Dual-Drive', 'GPU_NVIDIA', 'STORAGE_HDD', 'STORAGE_SSD']",109
"['CPU_i5', 'STORAGE_256-512GB']",109
"['CPU_i5', 'PRICE_1200+', 'GPU_IntelIntegrated']",109
"['GPU_NVIDIA', 'STORAGE_HDD', 'STORAGE_SSD']",109
"['CPU_CoreUltra', 'STORAGE_256-512GB']",109
"['RAM_32GB+', 'PRICE_1200+', 'GPU_IntelIntegrated']",108
"['GPU_AMD', 'STORAGE_512GB-1TB']",108
"['CPU_i5', 'STORAGE_128-256GB', 'PRICE_1200+']",108
"['PRICE_400-700', 'RAM_16-32GB']",108
"['CPU_i7/i9', 'STORAGE_256-512GB', 'RAM_16-32GB']",108
"['STORAGE_1-2TB', 'GPU_NVIDIA', 'STORAGE_SSD']",108
"['CPU_i5', 'STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+']",107
"['GPU_NVIDIA', 'STORAGE_HDD', 'PRICE_1200+']",106
"['GPU_NVIDIA', 'RAM_8-16GB', 'STORAGE_SSD']",106
"['CPU_i7/i9', 'RAM_8-16GB', 'STORAGE_128-256GB']",106
"['STORAGE_1-2TB', 'STORAGE_SSD', 'PRICE_1200+']",106
"['RAM_<8GB', 'PRICE_400-700', 'GPU_IntelIntegrated']",106
"['RAM_<8GB', 'PRICE_700-1200']",106
"['RAM_32GB+', 'GPU_NVIDIA']",105
"['STORAGE_Dual-Drive', 'STORAGE_HDD', 'PRICE_1200+']",105
"['CPU_i5', 'RAM_8-16GB', 'STORAGE_SSD', 'PRICE_1200+']",105
"['STORAGE_HDD', 'STORAGE_256-512GB']",105
"['CPU_i7/i9', 'RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD']",105
"['CPU_i7/i9', 'RAM_8-16GB', 'GPU_IntelIntegrated']",105
"['STORAGE_1-2TB', 'CPU_i7/i9']",105
"['STORAGE_1-2TB', 'GPU_NVIDIA', 'STORAGE_HDD']",105
